Degree,Weight,Rank,AHP Score
MSc,0.13501716061605273,1.0,16.0
MD,0.12008155697872074,3.0,14.0
PhD,0.12958059704440944,2.0,15.0
DSc,0.10461663971404013,4.0,13.0
MDGP,0.055536513094340254,6.0,11.0
DMRT,0.05418809615976375,7.0,10.0
IMA,0.027212865756599647,15.0,2.0
PsyD,0.03787121192751881,10.0,7.0
MSurg,0.08595018455402778,5.0,12.0
DD,0.0511390605536144,8.0,9.0
BDS,0.0445075175240968,9.0,8.0
DLO,0.02480090632655956,16.0,1.0
DGO,0.0322488942093338,12.0,5.0
MDS,0.031847932543265865,13.0,4.0
MPH,0.029461162796109528,14.0,3.0
MBBS,0.03593970020154677,11.0,6.0
